"Currency:","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","MYR","MXN","NOK","ZAR","SGD","KRW","LKR","SEK","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.KO","RXI_N.M.SL","RXI_N.M.SD","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2016-07,0.7529,1.1055,0.7132,1.3134,3.2781,1.3052,6.6771,6.7293,7.7568,67.1580,104.1910,4.0151,18.6155,8.4795,14.3930,1.3513,1140.8650,145.4010,8.5722,0.9830,32.1010,35.0410,9.9750
2016-08,0.7629,1.1207,0.7235,1.3101,3.2086,1.2998,6.6466,6.6396,7.7560,66.9035,101.2383,4.0219,18.4742,8.3009,13.7828,1.3476,1110.0183,145.2035,8.4693,0.9711,31.5374,34.7122,9.9750
2016-09,0.7591,1.1218,0.7312,1.3140,3.2532,1.3108,6.6702,6.6390,7.7564,66.7138,101.7843,4.1059,19.2436,8.1957,14.0264,1.3591,1108.3638,145.4581,8.5311,0.9732,31.4562,34.7133,9.9750
2016-10,0.7615,1.1014,0.7153,1.2330,3.1854,1.3251,6.7303,6.7553,7.7570,66.7415,103.9075,4.1738,18.8912,8.1722,13.9273,1.3847,1128.1660,146.7600,8.8210,0.9876,31.5860,35.0545,9.9750
2016-11,0.7532,1.0792,0.7153,1.2432,3.3369,1.3434,6.8402,6.8973,7.7560,67.6395,108.4430,4.3259,20.0086,8.4147,13.9125,1.4105,1162.7080,147.8100,9.1266,0.9963,31.7495,35.3345,9.9756
2016-12,0.7346,1.0545,0.7039,1.2483,3.3540,1.3339,6.9198,7.0524,7.7586,67.8052,115.9981,4.4573,20.4992,8.5617,13.8377,1.4358,1183.0700,148.8152,9.2070,1.0194,32.0005,35.7776,9.9750
2017-01,0.7465,1.0635,0.7132,1.2367,3.1901,1.3183,6.8907,6.9919,7.7560,68.0474,114.8721,4.4550,21.3911,8.4570,13.5446,1.4276,1179.1074,149.8342,8.9451,1.0075,31.6458,35.4289,9.9750
2017-02,0.7664,1.0650,0.7229,1.2495,3.1057,1.3109,6.8694,6.9810,7.7596,66.9726,112.9116,4.4401,20.3008,8.3215,13.1905,1.4137,1140.4874,150.8721,8.9007,1.0010,30.8547,34.9989,9.9750
2017-03,0.7622,1.0691,0.7006,1.2347,3.1275,1.3387,6.8940,6.9553,7.7658,65.8009,112.9165,4.4358,19.2800,8.5063,12.9203,1.4049,1133.8617,151.5048,8.9147,1.0015,30.6487,34.8752,9.9750
2017-04,0.7534,1.0714,0.6969,1.2639,3.1390,1.3437,6.8876,6.9422,7.7737,64.5360,110.0910,4.4030,18.7672,8.5855,13.4508,1.3983,1134.1755,151.8620,8.9616,1.0009,30.3585,34.4495,9.9750
2017-05,0.7437,1.1050,0.6946,1.2929,3.2043,1.3606,6.8843,6.7338,7.7864,64.4195,112.2436,4.3164,18.7666,8.5059,13.2640,1.3951,1125.1359,152.3909,8.7826,0.9867,30.1282,34.4573,9.9750
2017-06,0.7562,1.1233,0.7233,1.2810,3.2954,1.3295,6.8066,6.6203,7.7984,64.4482,110.9141,4.2760,18.1293,8.4594,12.8924,1.3834,1130.8464,152.8082,8.6779,0.9681,30.2595,33.9891,9.9750
2017-07,0.7807,1.1530,0.7358,1.2996,3.1994,1.2690,6.7694,6.4501,7.8091,64.4240,112.4170,4.2875,17.8081,8.1473,13.1504,1.3707,1131.7460,153.5875,8.3129,0.9604,30.3920,33.7090,9.9750
2017-08,0.7915,1.1813,0.7303,1.2952,3.1478,1.2608,6.6670,6.2966,7.8217,63.9683,109.8270,4.2820,17.7969,7.8885,13.2149,1.3608,1130.2700,153.0978,8.0835,0.9653,30.2330,33.2470,9.9750
